Name,Phone Number,Address,Skills,Email,Previous Work Experience,Projects,Education,Licenses and Certifications
Alejandra Barnes,001-926-560-7948x2005,"02024 Heather Extension, Lake Glenn, NY 81229","Snowflake, Amazon QuickSight, Looker, Tableau, ETL",laurie53@hotmail.com,Data Intern at XYZ Ltd; BI Developer at InsightWorks,E-commerce Dashboard; Credit Risk Modeling; Social Media Sentiment Analysis,"B.Tech in Computer Science, 2023; B.Sc. in Mathematics, 2021",AWS Certified Data Analytics – Specialty
Meredith Sherman,413.355.4898x50199,"600 Davidson Rapids, South Steven, LA 82499","SPSS, Dash, R, Google Data Studio, Flask",perezdana@hotmail.com,Freelance Data Consultant; Data Intern at XYZ Ltd; Business Analyst at QRS Inc,Churn Prediction; Social Media Sentiment Analysis,"B.Tech in Information Technology, 2019; B.Sc. in Statistics, 2018",IBM Data Science Professional Certificate
Heather Guerrero,138.925.1902x175,"PSC 6999, Box 3779, APO AE 22602","Business Intelligence, Spark, Data Wrangling, Google Data Studio, D3.js",claytonkristy@gmail.com,Data Intern at XYZ Ltd; BI Developer at InsightWorks; Data Visualization Specialist at DataViz Ltd,Healthcare Data Analysis; Churn Prediction,"B.Tech in Computer Science, 2020; B.Tech in Information Technology, 2019",AWS Certified Data Analytics – Specialty; Cloudera Certified Associate (CCA) Data Analyst
Michael Willis,(973)732-0037x94810,"02467 Tonya Expressway, North Katrina, CO 23189","Google Data Studio, Kibana, NLP, Jupyter, Data Mining",dlewis@anderson.com,Junior Analyst at ABC Corp; SQL Developer at DBMasters; ETL Developer at FlowTech; Freelance Data Consultant,Sales Forecasting; Real-time Data Pipeline,"M.Sc. in Statistics, 2015",SAS Certified Data Scientist
James Robbins,(653)542-6279x9874,"Unit 2386 Box 3081, DPO AE 40480","Excel, Snowflake, Data Governance, Data Modelling, Amazon QuickSight",emily71@norris.com,Research Assistant at University of Data; Junior Analyst at ABC Corp; Machine Learning Intern at AI Labs; SQL Developer at DBMasters,Customer Segmentation; Churn Prediction; Healthcare Data Analysis,"M.Tech in Data Analytics, 2023; M.Sc. in Statistics, 2021",Cloudera Certified Associate (CCA) Data Analyst
Heidi Hammond,001-087-882-7432x0198,"0507 James Junction, Crawfordburgh, WI 35516","Data Visualization, Google Data Studio, A/B Testing, Spark, Jupyter",beardnancy@rogers.net,Junior Analyst at ABC Corp; Freelance Data Consultant; Machine Learning Intern at AI Labs; Data Visualization Specialist at DataViz Ltd,Churn Prediction; Customer Segmentation,"M.Tech in Data Analytics, 2017",DataCamp Data Scientist
David Henderson,199.222.2032x18423,"79626 Kaufman Mill, East Jennifer, ND 76630","TensorFlow, Keras, Data Wrangling, Excel, Kibana",collinsdenise@gmail.com,ETL Developer at FlowTech; SQL Developer at DBMasters; Junior Analyst at ABC Corp; Research Assistant at University of Data,Churn Prediction; Credit Risk Modeling; Marketing Campaign Analysis,"MBA in Business Analytics, 2020; B.Tech in Computer Science, 2017",Tableau Desktop Specialist
David Chapman,3365386463,"80979 Williams Path Suite 699, East Catherine, NC 35400","Qlik, Tableau, Data Cleaning, NLP, Deep Learning",kristen67@may-williams.org,Data Visualization Specialist at DataViz Ltd; Research Assistant at University of Data; BI Developer at InsightWorks,Fraud Detection System; Churn Prediction,"B.Sc. in Computer Science, 2019",Google Data Analytics Certificate; Cloudera Certified Associate (CCA) Data Analyst
Eric Weber,566-067-1565,"9900 Theodore Overpass, New Brittney, DE 79318","SAS, NumPy, Spark, TensorFlow, Snowflake",emilywalker@gmail.com,Junior Analyst at ABC Corp; Research Assistant at University of Data; BI Developer at InsightWorks; SQL Developer at DBMasters,Healthcare Data Analysis; Real-time Data Pipeline; Marketing Campaign Analysis,"B.Tech in Information Technology, 2023; B.Tech in Information Technology, 2020",DataCamp Data Scientist
Mike Lowe,475-054-0281x1376,"497 York Field, South Kristie, OH 58907","Hadoop, Python, NumPy, MATLAB, Google Analytics",jday@garrison-cook.com,Data Visualization Specialist at DataViz Ltd; Research Assistant at University of Data; BI Developer at InsightWorks; Data Intern at XYZ Ltd,Real-time Data Pipeline; Fraud Detection System,"B.Sc. in Computer Science, 2016; M.Sc. in Statistics, 2019",Udacity Data Analyst Nanodegree; IBM Data Science Professional Certificate
